	index	name	address	rating	cost_for_two
0	6	C.I.A. Call It Asiian	13 - 16, Narmada Shopping Complex, Alaknanda Road, Near Don Bosco School, Greater Kailash 2 (GK 2), New Delhi	4.4	700
1	8	Berco's	E-42 & 43, Inner Circle, Connaught Place, New Delhi	4.2	700
2	13	Mom Hand Momos	Opposite Venkateshwara College, Satyaniketan, New Delhi	4.2	300
3	17	Pema's	Shop 5, 3/31, Upper Ground Floor, Shivalik Road, Malviya Nagar, New Delhi	4.1	700
4	9	Sunil Momos.com	14, Block GH, Paschim Vihar, New Delhi	3.8	300
